user_pseudo_id,event_name,event_timestamp
1005031.6891860355,page_view,1605447658945033
1011845.3088221822,page_view,1605423923417188
1011845.3088221822,page_view,1605423679326306
1011845.3088221822,page_view,1605425767751874
1011845.3088221822,page_view,1605423937850940
1011845.3088221822,page_view,1605423931966689
1011845.3088221822,page_view,1605425446399275
1011845.3088221822,page_view,1605423807680840
1011845.3088221822,page_view,1605425493403809
1011845.3088221822,page_view,1605423830086643
1011845.3088221822,page_view,1605423768539422
1011845.3088221822,page_view,1605427605914661
1011845.3088221822,page_view,1605423841748020
1011845.3088221822,page_view,1605427622936710
1011845.3088221822,page_view,1605423859039741
1011845.3088221822,page_view,1605429566997198
1011845.3088221822,page_view,1605432302090998
1011845.3088221822,page_view,1605430438716690
1011845.3088221822,page_view,1605427642262124
1011845.3088221822,page_view,1605429591961473
1011845.3088221822,page_view,1605423657605043
1011845.3088221822,page_view,1605432309869223
1011845.3088221822,page_view,1605423992206556
1011845.3088221822,page_view,1605423671369960
1011845.3088221822,page_view,1605427808400653
1011845.3088221822,page_view,1605425954294440
1011845.3088221822,page_view,1605427653114289
1011845.3088221822,page_view,1605423986633031
1011845.3088221822,page_view,1605427633425637
1011845.3088221822,page_view,1605423639477246
1011845.3088221822,page_view,1605427803621684
1011845.3088221822,page_view,1605423665979532
1011845.3088221822,page_view,1605423916321471
1011845.3088221822,page_view,1605429548863526
1011845.3088221822,page_view,1605423688574066
1011845.3088221822,page_view,1605423866899430
1011845.3088221822,page_view,1605425432290977
1018077.6071361630,page_view,1605434030515581
1018077.6071361630,page_view,1605433984137506
1018077.6071361630,page_view,1605434020352227
1018077.6071361630,begin_checkout,1605434032874575
1018077.6071361630,begin_checkout,1605434032601967
1018077.6071361630,page_view,1605434051687896
1018077.6071361630,page_view,1605433974645314
1018077.6071361630,page_view,1605434032538791
1018077.6071361630,page_view,1605433951945041
1018077.6071361630,view_item,1605434020352227
1018077.6071361630,page_view,1605434009897163
1018077.6071361630,page_view,1605433936964864
1023953.9842241768,page_view,1605437138964472
1023953.9842241768,page_view,1605413436427895
1023953.9842241768,page_view,1605413507913940
1023953.9842241768,page_view,1605413420237241
1023953.9842241768,page_view,1605421183240268
1023953.9842241768,page_view,1605421211906939
1023953.9842241768,page_view,1605413487729072
1023953.9842241768,page_view,1605413503981506
1023953.9842241768,page_view,1605421193049548
1023953.9842241768,page_view,1605426817055412
1023953.9842241768,page_view,1605413377532876
1023953.9842241768,page_view,1605421642623933
1023953.9842241768,page_view,1605421176375370
1023953.9842241768,page_view,1605429173938033
1023953.9842241768,page_view,1605413391129100
1023953.9842241768,page_view,1605413406067210
1023953.9842241768,page_view,1605421790741361
1023953.9842241768,page_view,1605421632314391
1023953.9842241768,page_view,1605426824580272
1028797.6938348108,page_view,1605452403688693
1032714.2933882920,page_view,1605439034981306
1045890.7647466940,page_view,1605443976084781
1045890.7647466940,page_view,1605441125451456
1045890.7647466940,page_view,1605444040119595
1045890.7647466940,page_view,1605443926805554
1045890.7647466940,page_view,1605444102137654
1045890.7647466940,page_view,1605441158799363
1045890.7647466940,page_view,1605444235086598
1045890.7647466940,view_item,1605444040119595
1045890.7647466940,page_view,1605441143615618
1059934.9610236585,page_view,1605447984485983
1059934.9610236585,page_view,1605447995076446
1059934.9610236585,view_item,1605447995076446
1059934.9610236585,page_view,1605447944972509
1059934.9610236585,view_item,1605447950671041
1068018.4118879180,page_view,1605469523650374
1077731.3617800846,page_view,1605413410202355
1092411.8200934320,page_view,1605406720200689
1092411.8200934320,page_view,1605409474082402
1092411.8200934320,page_view,1605405139266013
1092411.8200934320,page_view,1605405236974337
1092411.8200934320,page_view,1605405211845456
1092411.8200934320,page_view,1605405161632957
1092411.8200934320,page_view,1605405126405060
1092411.8200934320,page_view,1605405202666356
1092411.8200934320,page_view,1605405223318707
1092411.8200934320,page_view,1605405176687181
1092411.8200934320,page_view,1605405227499191
1092411.8200934320,page_view,1605404993550556
1092411.8200934320,page_view,1605409434822457
1092411.8200934320,page_view,1605405191164675
1097746.0865014749,page_view,1605435551256431
1103734.1463717333,page_view,1605400973515627
1104932.4020447939,page_view,1605477138561729
1132393.4250196150,page_view,1605474496833786
1132393.4250196150,page_view,1605474208791326
1132393.4250196150,page_view,1605474195768057
1132393.4250196150,page_view,1605474221128602
1132393.4250196150,page_view,1605474203631275
1132393.4250196150,page_view,1605474509642458
1133955.5806998950,page_view,1605404493169112
1134454.9654376743,page_view,1605448877487341
1139355.3696649420,page_view,1605434446941443
1156590.0081277255,view_item,1605474314335776
1156590.0081277255,page_view,1605474308945858
1159522.0280721318,page_view,1605406650863879
1159522.0280721318,page_view,1605406570251888
1159522.0280721318,page_view,1605406518520785
1159522.0280721318,page_view,1605406614180031
1159522.0280721318,page_view,1605406594944212
1159522.0280721318,page_view,1605406630939414
1163883.9929726809,page_view,1605477778495112
1166336.8762518429,page_view,1605444991435556
1166336.8762518429,page_view,1605445032654260
1166336.8762518429,page_view,1605445051142971
1166336.8762518429,page_view,1605445013968079
1184762.8586506640,page_view,1605410183932020
1184762.8586506640,page_view,1605410195225677
1197937.4582004227,begin_checkout,1605418998846318
1197937.4582004227,begin_checkout,1605419049907561
1197937.4582004227,page_view,1605418820851845
1197937.4582004227,page_view,1605418998823756
1197937.4582004227,page_view,1605418545893082
1197937.4582004227,page_view,1605419068358159
1197937.4582004227,page_view,1605418354254097
1197937.4582004227,page_view,1605419195466939
1197937.4582004227,page_view,1605419296271728
1197937.4582004227,page_view,1605418925152861
1197937.4582004227,page_view,1605418345813908
1197937.4582004227,page_view,1605419332804181
1197937.4582004227,page_view,1605419338616970
1197937.4582004227,page_view,1605418842585601
1197937.4582004227,page_view,1605418741281501
1197937.4582004227,page_view,1605419049896167
1197937.4582004227,page_view,1605419286207707
1197937.4582004227,begin_checkout,1605419049896476
1197937.4582004227,page_view,1605418768484817
1197937.4582004227,page_view,1605419308225588
1197937.4582004227,page_view,1605418761308108
1197937.4582004227,page_view,1605418376938945
1197937.4582004227,page_view,1605418917011180
1197937.4582004227,page_view,1605418533506180
1197937.4582004227,page_view,1605419301880730
1197937.4582004227,page_view,1605418903132841
1197937.4582004227,page_view,1605419476637336
1197937.4582004227,page_view,1605419342843168
1197937.4582004227,page_view,1605418363259985
1197937.4582004227,page_view,1605418746732937
1197937.4582004227,page_view,1605418585024911
1197937.4582004227,page_view,1605419348101448
1197937.4582004227,page_view,1605419326093667
1197937.4582004227,page_view,1605418634878612
1197937.4582004227,page_view,1605418720806737
1197937.4582004227,page_view,1605418930421524
1197937.4582004227,page_view,1605419318427927
1197937.4582004227,page_view,1605419237580966
